sequence,post_id,status,title,slug,url,post_date,audit_status,revised_title,mother_category,main_category,subcategory,subcategory_slug,canonical_sequence,audit_note
144,575,publish,چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟,quantum-understanding-achievement,https://qpedia.ir/quantum-understanding-achievement/,2026-09-03 03:02:34,حفظ,چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources,,
145,2226,publish,عدد کوانتومی چیست؟,quantum-number,https://qpedia.ir/quantum-number/,2026-09-03 19:25:19,حفظ,عدد کوانتومی چیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
146,2227,publish,ناظر در کوانتوم چیست؟,observer,https://qpedia.ir/observer/,2026-09-03 20:31:16,حفظ,ناظر در کوانتوم چیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty,,
147,2228,publish,اصل مکملیت چیست؟,complementarity-principle,https://qpedia.ir/complementarity-principle/,2026-09-03 20:31:16,حفظ,اصل مکملیت چیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
148,2230,publish,نوترینو چیست؟,neutrino,https://qpedia.ir/neutrino/,2026-09-03 20:31:16,حفظ,نوترینو چیست؟,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات بنیادی و مدل استاندارد,elementary-particles-standard-model,,
149,2233,publish,مدل استاندارد چیست؟,standard-model,https://qpedia.ir/standard-model/,2026-09-03 20:31:16,حفظ,مدل استاندارد چیست؟,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات بنیادی و مدل استاندارد,elementary-particles-standard-model,,
150,2234,publish,ذرات مجازی چیستند؟,virtual-particles,https://qpedia.ir/virtual-particles/,2026-09-03 20:33:07,حفظ,ذرات مجازی چیستند؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
151,2237,publish,مقالهٔ EPR چیست؟,epr-paradox,https://qpedia.ir/epr-paradox/,2026-09-03 20:33:07,حفظ,مقالهٔ EPR چیست؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
152,2238,publish,آزمایش اشترن-گرلاخ چیست؟,stern-gerlach-experiment,https://qpedia.ir/stern-gerlach-experiment/,2026-09-03 20:33:07,حفظ,آزمایش اشترن-گرلاخ چیست؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
153,2247,publish,حافظهٔ فلش چطور کار می‌کند؟,flash-memory,https://qpedia.ir/flash-memory/,2026-09-03 20:31:16,حفظ,حافظهٔ فلش چطور کار می‌کند؟,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology,,
154,2248,publish,میکروسکوپ تونلی چیست؟,scanning-tunneling-microscope,https://qpedia.ir/scanning-tunneling-microscope/,2026-09-03 20:31:16,حفظ,میکروسکوپ تونلی چیست؟,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology,,
155,2249,publish,فیبر نوری چگونه کار می‌کند؟,fiber-optics,https://qpedia.ir/fiber-optics/,2026-09-03 20:31:16,حفظ,فیبر نوری چگونه کار می‌کند؟,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology,,
156,2250,publish,برتری کوانتومی چیست؟,quantum-supremacy,https://qpedia.ir/quantum-supremacy/,2026-09-03 20:29:48,اصلاح عنوان,مزیت کوانتومی چیست؟ تفاوت آن با برتری مطلق رایانه‌ها,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
157,2251,publish,الگوریتم شور چیست؟,shor-algorithm,https://qpedia.ir/shor-algorithm/,2026-09-03 20:29:57,حفظ,الگوریتم شور چیست؟,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,الگوریتم‌های کوانتومی,quantum-algorithms,,
158,2259,publish,تفسیر دوبروی-بوهم چیست؟,pilot-wave,https://qpedia.ir/pilot-wave/,2026-09-03 20:31:16,حفظ,تفسیر دوبروی-بوهم چیست؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
159,2260,publish,آیا جهش ژنتیکی کوانتومی است؟,genetic-mutation,https://qpedia.ir/genetic-mutation/,2026-09-03 20:31:16,حفظ,آیا جهش ژنتیکی کوانتومی است؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,
160,2743,publish,پروتون از چه ساخته شده؟ کوارک کافی نیست,proton-neutron-quark-structure,https://qpedia.ir/proton-neutron-quark-structure/,2026-09-10 16:19:07,حفظ,پروتون از چه ساخته شده؟ کوارک کافی نیست,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,کوارک‌ها، هادرون‌ها و نیروی قوی,quarks-hadrons-strong-force,,
161,2751,publish,کامپیوتر توپولوژیک؛ گره ای که خطا را نمی بیند,topological-quantum-computing,https://qpedia.ir/topological-quantum-computing/,2026-09-09 18:02:10,حفظ,کامپیوتر توپولوژیک؛ گره ای که خطا را نمی بیند,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
162,2870,publish,شیمی محاسباتی کوانتومی و کشف دارو,quantum-chemistry-drug-discovery,https://qpedia.ir/quantum-chemistry-drug-discovery/,2026-09-15 05:25:23,حفظ,شیمی محاسباتی کوانتومی و کشف دارو,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی کوانتومی و ساختار مولکولی,quantum-chemistry-molecular-structure,,
163,3307,publish,دوران NISQ و محدودیت‌های رایانه‌های کوانتومی کنونی,nisq-era,https://qpedia.ir/nisq-era/,2026-09-19 15:41:41,حفظ,دوران NISQ و محدودیت‌های رایانه‌های کوانتومی کنونی,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
164,3319,publish,تصویربرداری کوانتومی در تاریکی؛ چگونه هدف پنهان در نویز را پیدا کنیم؟,quantum-illumination,https://qpedia.ir/quantum-illumination/,2026-09-20 02:05:56,اصلاح عنوان,روشن‌سازی کوانتومی؛ تشخیص هدف در محیط پرنویز,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,تصویربرداری، میکروسکوپی و لیتوگرافی,quantum-imaging-microscopy-lithography,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
165,3321,publish,لیدار کوانتومی چیست و چگونه فاصله را با فوتون‌ها اندازه می‌گیرد؟,quantum-lidar,https://qpedia.ir/quantum-lidar/,2026-09-21 09:14:55,حفظ,لیدار کوانتومی چیست و چگونه فاصله را با فوتون‌ها اندازه می‌گیرد؟,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,رادار، لیدار و سنجش نوری,quantum-radar-lidar-optical-sensing,,
166,3323,publish,چشمهٔ تک‌فوتون چیست و چرا ساخت یک فوتونِ مطمئن دشوار است؟,single-photon-source,https://qpedia.ir/single-photon-source/,2026-09-21 09:14:55,حفظ,چشمهٔ تک‌فوتون چیست و چرا ساخت یک فوتونِ مطمئن دشوار است؟,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,منابع و حالت‌های نور کوانتومی,quantum-light-sources-states,,
167,3325,publish,چشمهٔ فوتون درهم‌تنیده چگونه جفت‌های کوانتومی تولید می‌کند؟,entangled-photon-source,https://qpedia.ir/entangled-photon-source/,2026-09-21 09:14:55,حفظ,چشمهٔ فوتون درهم‌تنیده چگونه جفت‌های کوانتومی تولید می‌کند؟,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,منابع و حالت‌های نور کوانتومی,quantum-light-sources-states,,
168,3327,publish,تبدیل پارامتری خودبه‌خودی چیست؟ سازوکار SPDC برای تولید جفت‌فوتون,spontaneous-parametric-down-conversion,https://qpedia.ir/spontaneous-parametric-down-conversion/,2026-09-21 02:49:01,حفظ,تبدیل پارامتری خودبه‌خودی چیست؟ سازوکار SPDC برای تولید جفت‌فوتون,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,لیزرها و اپتیک غیرخطی,lasers-nonlinear-optics,,
169,3330,publish,شمارش فوتون؛ از کلیک آشکارساز تا آمار نور,photon-counting,https://qpedia.ir/photon-counting/,2026-09-20 19:03:22,حفظ,شمارش فوتون؛ از کلیک آشکارساز تا آمار نور,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,آشکارسازی و اندازه‌گیری نور,photon-detection-optical-measurement,,
170,3332,publish,انسداد فوتونی؛ وقتی یک فوتون راه فوتون بعدی را می‌بندد,photon-blockade,https://qpedia.ir/photon-blockade/,2026-09-21 09:14:54,حفظ,انسداد فوتونی؛ وقتی یک فوتون راه فوتون بعدی را می‌بندد,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,منابع و حالت‌های نور کوانتومی,quantum-light-sources-states,,
171,3334,publish,نور کند؛ کنترل سرعت گروهی بدون کندشدن ثابت بنیادی نور,slow-light,https://qpedia.ir/slow-light/,2026-09-21 09:14:54,حفظ,نور کند؛ کنترل سرعت گروهی بدون کندشدن ثابت بنیادی نور,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,نور، فوتون و برهم‌کنش نور و ماده,light-photons-light-matter,,
172,3336,publish,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,quantum-lithography,https://qpedia.ir/quantum-lithography/,2026-09-21 09:14:54,حفظ,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,تصویربرداری، میکروسکوپی و لیتوگرافی,quantum-imaging-microscopy-lithography,,
173,3338,publish,ارتباط مستقیم امن کوانتومی؛ ارسال پیام بدون تولید کلید جداگانه,quantum-secure-direct-communication,https://qpedia.ir/quantum-secure-direct-communication/,2026-09-21 09:14:54,حفظ,ارتباط مستقیم امن کوانتومی؛ ارسال پیام بدون تولید کلید جداگانه,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و توزیع کلید کوانتومی,quantum-cryptography-qkd,,
174,3340,publish,انگشت‌نگاری کوانتومی؛ مقایسه داده با پیام بسیار کوتاه,quantum-fingerprinting,https://qpedia.ir/quantum-fingerprinting/,2026-09-21 09:14:54,حفظ,انگشت‌نگاری کوانتومی؛ مقایسه داده با پیام بسیار کوتاه,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط و تله‌پورت کوانتومی,quantum-communication-teleportation,,
175,3342,publish,مزایده کوانتومی؛ پیشنهادهای درهم‌نهیده یا صرفاً یک مدل نظری؟,quantum-auction,https://qpedia.ir/quantum-auction/,2026-09-21 09:14:54,حفظ,مزایده کوانتومی؛ پیشنهادهای درهم‌نهیده یا صرفاً یک مدل نظری؟,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,پروتکل‌های اعتماد و کاربردهای رمزنگاری,quantum-trust-cryptographic-protocols,,
176,3344,publish,FPGA کوانتومی؛ سخت‌افزار بازپیکربندی‌پذیر برای کنترل یا پردازش کوانتومی,quantum-fpga,https://qpedia.ir/quantum-fpga/,2026-09-21 09:14:54,حفظ,FPGA کوانتومی؛ سخت‌افزار بازپیکربندی‌پذیر برای کنترل یا پردازش کوانتومی,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
177,3346,publish,الکترونیک سرد؛ کنترل رایانه کوانتومی در چند کلوین,cryogenic-electronics,https://qpedia.ir/cryogenic-electronics/,2026-09-21 09:14:54,حفظ,الکترونیک سرد؛ کنترل رایانه کوانتومی در چند کلوین,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
178,3348,publish,یخچال رقیق‌سازی؛ چگونه به چند میلی‌کلوین می‌رسیم؟,dilution-refrigerator,https://qpedia.ir/dilution-refrigerator/,2026-09-21 09:14:54,حفظ,یخچال رقیق‌سازی؛ چگونه به چند میلی‌کلوین می‌رسیم؟,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
179,3350,publish,دیمر کوانتومی؛ مدل پیوندهای تشدیدکننده در مادهٔ کوانتومی,quantum-dimer,https://qpedia.ir/quantum-dimer/,2026-09-21 09:14:54,حفظ,دیمر کوانتومی؛ مدل پیوندهای تشدیدکننده در مادهٔ کوانتومی,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,مغناطیس و سامانه‌های اسپینی,quantum-magnetism-spin-systems,,
180,3352,publish,نانوسیم؛ وقتی سطح و کوانتش بر رسانش چیره می‌شوند,nanowire,https://qpedia.ir/nanowire/,2026-09-21 09:14:54,حفظ,نانوسیم؛ وقتی سطح و کوانتش بر رسانش چیره می‌شوند,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,شبه‌ذرات و برانگیختگی‌های جمعی,quasiparticles-collective-excitations,,
181,3354,publish,گاز دوقطبی؛ مادهٔ کوانتومی با برهم‌کنش جهت‌دار و دوربرد,dipolar-gas,https://qpedia.ir/dipolar-gas/,2026-09-21 09:14:54,حفظ,گاز دوقطبی؛ مادهٔ کوانتومی با برهم‌کنش جهت‌دار و دوربرد,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases,,
182,3356,publish,گاز فرمی؛ جهانی که اصل طرد شکل می‌دهد,fermi-gas,https://qpedia.ir/fermi-gas/,2026-09-21 09:14:54,حفظ,گاز فرمی؛ جهانی که اصل طرد شکل می‌دهد,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases,,
183,3358,publish,قطرهٔ کوانتومی؛ مایعی رقیق که نوسان‌ها آن را نگه می‌دارند,quantum-droplet,https://qpedia.ir/quantum-droplet/,2026-09-21 09:14:54,حفظ,قطرهٔ کوانتومی؛ مایعی رقیق که نوسان‌ها آن را نگه می‌دارند,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases,,
184,3360,publish,سالیتون؛ موجی که پس از برخورد شکل خود را حفظ می‌کند,soliton,https://qpedia.ir/soliton/,2026-09-21 09:14:54,حفظ,سالیتون؛ موجی که پس از برخورد شکل خود را حفظ می‌کند,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,شبه‌ذرات و برانگیختگی‌های جمعی,quasiparticles-collective-excitations,,
185,3362,publish,اصل لانه‌کبوتری کوانتومی؛ آیا سه ذره می‌توانند بدون هم‌خانه‌شدن در دو جعبه باشند؟,quantum-pigeonhole,https://qpedia.ir/quantum-pigeonhole/,2026-09-21 02:51:11,حفظ,اصل لانه‌کبوتری کوانتومی؛ آیا سه ذره می‌توانند بدون هم‌خانه‌شدن در دو جعبه باشند؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,پارادوکس‌ها و آزمایش‌های فکری,quantum-paradoxes-thought-experiments,,
186,3364,publish,سولیپسیسم کوانتومی؛ آیا مکانیک کوانتومی فقط تجربهٔ شخصی را واقعی می‌داند؟,quantum-solipsism,https://qpedia.ir/quantum-solipsism/,2026-09-21 09:14:54,حفظ,سولیپسیسم کوانتومی؛ آیا مکانیک کوانتومی فقط تجربهٔ شخصی را واقعی می‌داند؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness,,
187,3367,publish,واپاشی پروتون؛ جست‌وجوی فروپاشی یکی از پایدارترین ذرات جهان,proton-decay,https://qpedia.ir/proton-decay/,2026-09-21 09:14:54,حفظ,واپاشی پروتون؛ جست‌وجوی فروپاشی یکی از پایدارترین ذرات جهان,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,کوارک‌ها، هادرون‌ها و نیروی قوی,quarks-hadrons-strong-force,,
188,3369,publish,اکسیون؛ ذره‌ای فرضی میان مسئلهٔ CP قوی و مادهٔ تاریک,axion,https://qpedia.ir/axion/,2026-09-20 22:59:42,حفظ,اکسیون؛ ذره‌ای فرضی میان مسئلهٔ CP قوی و مادهٔ تاریک,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,پادماده، ماده تاریک و ذرات فرضی,antimatter-dark-matter-hypothetical-particles,,
189,3371,publish,ویمپ؛ نامزد مشهور مادهٔ تاریک که هنوز پنهان مانده است,wimp,https://qpedia.ir/wimp/,2026-09-20 23:00:01,حفظ,ویمپ؛ نامزد مشهور مادهٔ تاریک که هنوز پنهان مانده است,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,پادماده، ماده تاریک و ذرات فرضی,antimatter-dark-matter-hypothetical-particles,,
190,3373,publish,انرژی تاریک و جهان کوانتومی؛ بحران کوچک‌ترین چگالی بزرگ فیزیک,dark-energy-quantum,https://qpedia.ir/dark-energy-quantum/,2026-09-20 23:00:16,حفظ,انرژی تاریک و جهان کوانتومی؛ بحران کوچک‌ترین چگالی بزرگ فیزیک,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe,,
191,3375,publish,تورم کیهانی؛ جهش آغازین فضا و بذر ساختارهای جهان,cosmic-inflation,https://qpedia.ir/cosmic-inflation/,2026-09-21 09:14:54,حفظ,تورم کیهانی؛ جهش آغازین فضا و بذر ساختارهای جهان,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe,,
192,3377,publish,تابش زمینهٔ کیهانی؛ قدیمی‌ترین نوری که می‌توانیم ببینیم,cosmic-microwave-background,https://qpedia.ir/cosmic-microwave-background/,2026-09-21 09:14:54,حفظ,تابش زمینهٔ کیهانی؛ قدیمی‌ترین نوری که می‌توانیم ببینیم,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe,,
193,3379,publish,کرم‌چاله؛ میان‌بُر فضا–زمان میان ریاضیات و واقعیت,wormhole,https://qpedia.ir/wormhole/,2026-09-21 09:14:54,حفظ,کرم‌چاله؛ میان‌بُر فضا–زمان میان ریاضیات و واقعیت,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش کوانتومی و فضا–زمان,quantum-gravity-spacetime,,
194,3381,publish,کیهان‌شناسی کوانتومی؛ وقتی خود جهان موضوع نظریه کوانتومی می‌شود,quantum-cosmology,https://qpedia.ir/quantum-cosmology/,2026-09-21 09:14:54,حفظ,کیهان‌شناسی کوانتومی؛ وقتی خود جهان موضوع نظریه کوانتومی می‌شود,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe,,
195,3383,publish,جهش کوانتومی کیهان؛ آیا پیش از مهبانگ مرحله‌ای دیگر وجود داشت؟,quantum-bounce,https://qpedia.ir/quantum-bounce/,2026-09-21 09:14:54,حفظ,جهش کوانتومی کیهان؛ آیا پیش از مهبانگ مرحله‌ای دیگر وجود داشت؟,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe,,
196,3385,publish,بلاک‌چین کوانتومی؛ امنیت پساکوانتومی یا شبکه‌ای واقعاً کوانتومی؟,quantum-blockchain,https://qpedia.ir/quantum-blockchain/,2026-09-21 09:14:54,حفظ,بلاک‌چین کوانتومی؛ امنیت پساکوانتومی یا شبکه‌ای واقعاً کوانتومی؟,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,پروتکل‌های اعتماد و کاربردهای رمزنگاری,quantum-trust-cryptographic-protocols,,
197,3387,publish,موسیقی کوانتومی؛ از دادهٔ آزمایش تا صدا و آهنگ‌سازی,quantum-music,https://qpedia.ir/quantum-music/,2026-09-21 04:47:39,حفظ,موسیقی کوانتومی؛ از دادهٔ آزمایش تا صدا و آهنگ‌سازی,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future,,
198,3389,publish,داستان علمی‌تخیلی کوانتومی؛ روایت جهان‌های ممکن بدون تحریف علم,quantum-fiction,https://qpedia.ir/quantum-fiction/,2026-09-21 09:14:54,حفظ,داستان علمی‌تخیلی کوانتومی؛ روایت جهان‌های ممکن بدون تحریف علم,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future,,
199,3391,publish,فرهنگ کوانتومی؛ وقتی زبان فیزیک وارد جامعه می‌شود,quantum-culture,https://qpedia.ir/quantum-culture/,2026-09-21 04:47:55,حفظ,فرهنگ کوانتومی؛ وقتی زبان فیزیک وارد جامعه می‌شود,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future,,
200,3393,publish,زمستان کوانتومی؛ اگر سرمایه و اعتماد از فناوری عقب‌نشینی کنند,quantum-winter,https://qpedia.ir/quantum-winter/,2026-09-21 04:48:13,حفظ,زمستان کوانتومی؛ اگر سرمایه و اعتماد از فناوری عقب‌نشینی کنند,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,تصحیح خطا، کنترل و محدودیت‌ها,quantum-error-control-limitations,,
201,3395,publish,تکینگی کوانتومی؛ مرز شکست نظریه یا جهش فرضی فناوری؟,quantum-singularity,https://qpedia.ir/quantum-singularity/,2026-09-21 09:14:55,حفظ,تکینگی کوانتومی؛ مرز شکست نظریه یا جهش فرضی فناوری؟,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش کوانتومی و فضا–زمان,quantum-gravity-spacetime,,
202,3397,publish,حالت‌های همدوس؛ کوانتومی‌ترین توصیف نور کلاسیک,coherent-states,https://qpedia.ir/coherent-states/,2026-09-21 09:14:55,حفظ,حالت‌های همدوس؛ کوانتومی‌ترین توصیف نور کلاسیک,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت کوانتومی و تابع موج,quantum-states-wave-function,,
203,3399,publish,حالت فوک؛ وقتی تعداد کوانتوم‌ها دقیق است,fock-state,https://qpedia.ir/fock-state/,2026-09-21 02:49:01,حفظ,حالت فوک؛ وقتی تعداد کوانتوم‌ها دقیق است,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت کوانتومی و تابع موج,quantum-states-wave-function,,
204,3401,publish,چهارموجی؛ برهم‌کنش غیرخطی چهار میدان نور,four-wave-mixing,https://qpedia.ir/four-wave-mixing/,2026-09-21 09:14:55,حفظ,چهارموجی؛ برهم‌کنش غیرخطی چهار میدان نور,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,لیزرها و اپتیک غیرخطی,lasers-nonlinear-optics,,
205,3403,publish,نوسانگر پارامتری نوری؛ تبدیل یک پمپ به دو میدان همدوس,optical-parametric-oscillator,https://qpedia.ir/optical-parametric-oscillator/,2026-09-21 09:14:55,حفظ,نوسانگر پارامتری نوری؛ تبدیل یک پمپ به دو میدان همدوس,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,لیزرها و اپتیک غیرخطی,lasers-nonlinear-optics,,
206,3405,publish,آشکارسازی هوموداین؛ اندازه‌گیری کوادرات‌های میدان نور,homodyne-detection,https://qpedia.ir/homodyne-detection/,2026-09-21 02:51:59,حفظ,آشکارسازی هوموداین؛ اندازه‌گیری کوادرات‌های میدان نور,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,آشکارسازی و اندازه‌گیری نور,photon-detection-optical-measurement,,
207,3408,publish,دماسنجی کوانتومی؛ اندازه‌گیری دما با یک سامانه بسیار کوچک,quantum-thermometry,https://qpedia.ir/quantum-thermometry/,2026-09-21 09:14:55,حفظ,دماسنجی کوانتومی؛ اندازه‌گیری دما با یک سامانه بسیار کوچک,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,ترمودینامیک، آنتروپی و ماشین‌های کوانتومی,quantum-thermodynamics-entropy-machines,,
208,3410,publish,بازده موتور کوانتومی؛ آیا همدوسی می‌تواند از کارنو جلو بزند؟,quantum-engine-efficiency,https://qpedia.ir/quantum-engine-efficiency/,2026-09-21 09:14:55,حفظ,بازده موتور کوانتومی؛ آیا همدوسی می‌تواند از کارنو جلو بزند؟,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,ترمودینامیک، آنتروپی و ماشین‌های کوانتومی,quantum-thermodynamics-entropy-machines,,
209,3412,publish,پیام‌رسانی سلولی و کوانتوم؛ کجا شیمی کوانتومی تمام می‌شود و ادعای بزرگ آغاز؟,quantum-cell-signaling,https://qpedia.ir/quantum-cell-signaling/,2026-09-21 09:14:55,حفظ,پیام‌رسانی سلولی و کوانتوم؛ کجا شیمی کوانتومی تمام می‌شود و ادعای بزرگ آغاز؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,
210,3414,publish,بیهوشی و کوانتوم؛ فرضیه‌ای جذاب با شواهد محدود,quantum-anesthesia,https://qpedia.ir/quantum-anesthesia/,2026-09-21 04:48:34,حفظ,بیهوشی و کوانتوم؛ فرضیه‌ای جذاب با شواهد محدود,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,مغز، آگاهی و علوم اعصاب,quantum-brain-neuroscience,,
211,3416,publish,کوانتوم در سرطان؛ از ابزار تشخیص تا ادعاهای درمانی,quantum-cancer,https://qpedia.ir/quantum-cancer/,2026-09-21 09:14:54,حفظ,کوانتوم در سرطان؛ از ابزار تشخیص تا ادعاهای درمانی,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی، تصویربرداری و تشخیص,quantum-medicine-imaging-diagnostics,,
