sequence,term,seo_title,meta_description,links,words,category,related,schema
153,حالت ویژه,حالت ویژه چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,حالت ویژه چیست؟ حالتی است که اندازه‌گیری مشاهده‌پذیر متناظر در آن نتیجه‌ای معین می‌دهد. مثال روزمره و مرز تمثیل را ببینید.,4,253,مفاهیم پایه,https://qpedia.ir/quantum-state/,DefinedTerm
154,برا و کت,برا و کت چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,برا و کت چیست؟ نمادگذاری دیراک برای نمایش بردار حالت، بردار دوگان و ضرب داخلی در مکانیک کوانتومی است. مثال آن را ببینید.,4,261,تاریخ و جامعه,https://qpedia.ir/why-quantum-math-works/,DefinedTerm
155,ماتریس چگالی,ماتریس چگالی چیست؟ تعریف ساده، مثال و کاربردهای مهم,ماتریس چگالی چیست؟ نمایشی از حالت خالص یا آمیزه‌ای است که برای سامانه باز و زیرسامانه کاربرد دارد. کاربرد آن را بخوانید.,4,262,مفاهیم پایه,https://qpedia.ir/quantum-state/,DefinedTerm
156,حالت خالص,حالت خالص چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,حالت خالص چیست؟ حالتی کوانتومی است که با یک بردار حالت واحد و بیشترین اطلاعات قابل دسترس توصیف می‌شود. مثال آن را ببینید.,4,260,مفاهیم پایه,https://qpedia.ir/quantum-state/,DefinedTerm
157,حالت آمیزه‌ای,حالت آمیزه‌ای چیست؟ تعریف ساده، مثال و کاربردهای مهم,حالت آمیزه‌ای چیست؟ توصیفی آماری از چند حالت کوانتومی است که با ماتریس چگالی نمایش داده می‌شود. مثال روزمره و مرز تمثیل را ببینید.,4,258,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
158,رد جزئی,رد جزئی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,رد جزئی چیست؟ عملی ریاضی برای به‌دست‌آوردن حالت یک زیرسامانه از حالت مشترک بزرگ‌تر است. مثال روزمره و مرز تمثیل را ببینید.,4,247,مفاهیم پایه,https://qpedia.ir/entanglement-quantum-computers/,DefinedTerm
159,پایه اندازه‌گیری,پایه اندازه‌گیری چیست؟ تعریف ساده، مثال و کاربردهای مهم,پایه اندازه‌گیری چیست؟ مجموعه حالت‌هایی است که نتیجه‌های ممکن یک اندازه‌گیری را مشخص می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,257,مفاهیم پایه,https://qpedia.ir/quantum-measurement/,DefinedTerm
160,مشاهده‌پذیر,مشاهده‌پذیر چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,مشاهده‌پذیر چیست؟ کمیتی فیزیکی مانند مکان یا انرژی است که در نظریه با عملگر هرمیتی نمایش داده می‌شود. مثال آن را ببینید.,4,251,مفاهیم پایه,https://qpedia.ir/quantum-measurement/,DefinedTerm
161,جابجایی‌گر,جابجایی‌گر چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,جابجایی‌گر چیست؟ اختلاف حاصل‌ضرب دو عملگر در دو ترتیب است و سازگاری اندازه‌گیری آن‌ها را نشان می‌دهد. مثال آن را ببینید.,4,248,مفاهیم پایه,https://qpedia.ir/heisenberg-uncertainty-principle/,DefinedTerm
162,فاز نسبی,فاز نسبی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,فاز نسبی چیست؟ اختلاف فاز میان مؤلفه‌های حالت است که می‌تواند در الگوی تداخل مشاهده شود. مثال روزمره و مرز تمثیل را ببینید.,4,251,مفاهیم پایه,https://qpedia.ir/coherence/,DefinedTerm
163,فاز کلی,فاز کلی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,فاز کلی چیست؟ ضریب فازی مشترک کل حالت است که به‌تنهایی نتیجه قابل مشاهده را تغییر نمی‌دهد. مثال روزمره و مرز تمثیل را ببینید.,4,256,مفاهیم پایه,https://qpedia.ir/aharonov-bohm-effect/,DefinedTerm
164,قاعده بورن,قاعده بورن چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,قاعده بورن چیست؟ قاعده‌ای است که مربع اندازه دامنه کوانتومی را به احتمال نتیجه اندازه‌گیری مرتبط می‌کند. مثال آن را ببینید.,4,256,مفاهیم پایه,https://qpedia.ir/born-probability/,DefinedTerm
165,تحول واحدی,تحول واحدی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,تحول واحدی چیست؟ تحولی برگشت‌پذیر است که نرم حالت و مجموع احتمال‌ها را حفظ می‌کند. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,259,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
166,معادله شرودینگر,معادله شرودینگر چیست؟ تعریف ساده، مثال و کاربردهای مهم,معادله شرودینگر چیست؟ معادله بنیادی تحول زمانی حالت کوانتومی غیرنسبیتی است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,250,مفاهیم پایه,https://qpedia.ir/wave-function/,DefinedTerm
167,معادله دیراک,معادله دیراک چیست؟ تعریف ساده، مثال و کاربردهای مهم,معادله دیراک چیست؟ معادله نسبیتی فرمیون‌های اسپین یک‌دوم است که پادذره را نیز پیش‌بینی می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,241,ذرات و نیروها,https://qpedia.ir/antimatter/,DefinedTerm
168,معادله هایزنبرگ,معادله هایزنبرگ چیست؟ تعریف ساده، مثال و کاربردهای مهم,معادله هایزنبرگ چیست؟ بیان تحول زمانی عملگرها در تصویر هایزنبرگ مکانیک کوانتومی است. تعریف کامل آن در واژه‌نامه آمده است.,4,246,مفاهیم پایه,https://qpedia.ir/heisenberg-uncertainty-principle/,DefinedTerm
169,انتگرال مسیر,انتگرال مسیر چیست؟ تعریف ساده، مثال و کاربردهای مهم,انتگرال مسیر چیست؟ روش فاینمن برای جمع دامنه‌های مربوط به تاریخچه‌های ممکن یک سامانه است. مثال روزمره و مرز تمثیل را ببینید.,4,249,تاریخ و جامعه,https://qpedia.ir/why-quantum-math-works/,DefinedTerm
170,کنش,کنش چیست؟ تعریف دقیق و ساده، مثال روزمره و کاربردهای علمی,کنش چیست؟ کمیتی فیزیکی با بُعد انرژی ضرب‌در زمان است که مسیر کلاسیک و فاز کوانتومی را پیوند می‌دهد. کاربرد آن را بخوانید.,4,254,مفاهیم پایه,https://qpedia.ir/planck-constant/,DefinedTerm
171,بسته موج,بسته موج چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,بسته موج چیست؟ ترکیبی از موج‌هاست که حالت کوانتومی نسبتاً موضعی را نمایش می‌دهد. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,248,مفاهیم پایه,https://qpedia.ir/wave-particle-duality/,DefinedTerm
172,سرعت گروه,سرعت گروه چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,سرعت گروه چیست؟ سرعت حرکت پوش بسته موج است و در شرایط مناسب با انتقال سیگنال ارتباط دارد. مثال روزمره و مرز تمثیل را ببینید.,4,235,نور کوانتومی,https://qpedia.ir/slow-light/,DefinedTerm
173,سرعت فاز,سرعت فاز چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,سرعت فاز چیست؟ سرعت جابه‌جایی یک فاز ثابت موج است و الزاماً سرعت انتقال اطلاعات نیست. مثال روزمره و مرز تمثیل را ببینید.,4,236,نور کوانتومی,https://qpedia.ir/slow-light/,DefinedTerm
174,فضای پیکربندی,فضای پیکربندی چیست؟ تعریف ساده، مثال و کاربردهای مهم,فضای پیکربندی چیست؟ فضایی است که همه مختصات ذرات سامانه چندجسمی را هم‌زمان نمایش می‌دهد. مثال روزمره و مرز تمثیل را ببینید.,4,256,مفاهیم پایه,https://qpedia.ir/quantum-entanglement-explained/,DefinedTerm
175,سامانه باز کوانتومی,سامانه باز کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,سامانه باز کوانتومی چیست؟ سامانه‌ای است که با محیط تبادل انرژی یا اطلاعات دارد و جدا از آن توصیف کامل نمی‌شود. مثال آن را ببینید.,4,269,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
176,سامانه بسته کوانتومی,سامانه بسته کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,سامانه بسته کوانتومی چیست؟ مدلی ایده‌آل از سامانه جدا از محیط است که تحول آن معمولاً واحدی در نظر گرفته می‌شود. مثال آن را ببینید.,4,269,مفاهیم پایه,https://qpedia.ir/why-large-objects-dont-superpose/,DefinedTerm
177,مخزن کوانتومی,مخزن کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,مخزن کوانتومی چیست؟ محیطی با درجات آزادی فراوان است که می‌تواند اتلاف و واهمدوسی سامانه را ایجاد کند. مثال آن را ببینید.,4,263,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
178,نویز کوانتومی,نویز کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,نویز کوانتومی چیست؟ نوسان یا عدم قطعیتی است که از اندازه‌گیری، حالت و برهم‌کنش محیطی پدید می‌آید. مثال روزمره و مرز تمثیل را ببینید.,4,244,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
179,توموگرافی کوانتومی,توموگرافی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,توموگرافی کوانتومی چیست؟ روش بازسازی حالت یا فرایند کوانتومی از مجموعه‌ای از اندازه‌گیری‌هاست. مثال روزمره و مرز تمثیل را ببینید.,4,248,مفاهیم پایه,https://qpedia.ir/quantum-state/,DefinedTerm
180,وفاداری کوانتومی,وفاداری کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,وفاداری کوانتومی چیست؟ معیاری برای سنجش شباهت دو حالت یا نزدیکی اجرای واقعی به هدف است. مثال روزمره و مرز تمثیل را ببینید.,4,242,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
181,آنتروپی فون نویمان,آنتروپی فون نویمان چیست؟ تعریف ساده، مثال و کاربردهای مهم,آنتروپی فون نویمان چیست؟ معیاری از آمیزگی و اطلاعات حالت کوانتومی بر پایه مقادیر ویژه ماتریس چگالی است. مثال آن را ببینید.,4,256,مفاهیم پایه,https://qpedia.ir/quantum-thermodynamics/,DefinedTerm
182,آنتروپی درهم‌تنیدگی,آنتروپی درهم‌تنیدگی چیست؟ تعریف ساده، مثال و کاربردهای مهم,آنتروپی درهم‌تنیدگی چیست؟ مقدار درهم‌تنیدگی حالت خالص دوقسمتی را از آنتروپی یک زیرسامانه می‌سنجد. مثال روزمره و مرز تمثیل را ببینید.,4,249,مفاهیم پایه,https://qpedia.ir/entanglement-quantum-computers/,DefinedTerm
183,سرعت نور,سرعت نور چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,سرعت نور چیست؟ بیشینهٔ سرعت انتقال انرژی و اطلاعات در فضازمان که هیچ پدیدهٔ کوانتومی آن را نقض نمی‌کند. مثال آن را ببینید.,4,260,مفاهیم پایه,https://qpedia.ir/entanglement-myths/,DefinedTerm
184,تبادل درهم‌تنیدگی,تبادل درهم‌تنیدگی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تبادل درهم‌تنیدگی چیست؟ روشی است که دو سامانه بدون برهم‌کنش مستقیم را با اندازه‌گیری واسطه درهم‌تنیده می‌کند. مثال آن را ببینید.,4,247,تاریخ و جامعه,https://qpedia.ir/nobel-physics-2022/,DefinedTerm
185,تقطیر درهم‌تنیدگی,تقطیر درهم‌تنیدگی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تقطیر درهم‌تنیدگی چیست؟ فرایندی برای استخراج جفت‌های درهم‌تنیده باکیفیت‌تر از جفت‌های نویزی است. مثال روزمره و مرز تمثیل را ببینید.,4,225,ارتباطات کوانتومی,https://qpedia.ir/quantum-network/,DefinedTerm
186,گیت هادامارد,گیت هادامارد چیست؟ تعریف ساده، مثال و کاربردهای مهم,گیت هادامارد چیست؟ گیتی تک‌کیوبیتی است که حالت پایه را به برهم‌نهی‌هایی با فاز مشخص تبدیل می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,246,رایانش کوانتومی,https://qpedia.ir/quantum-gate/,DefinedTerm
187,گیت CNOT,گیت CNOT چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,گیت CNOT چیست؟ گیتی دوکیوبیتی است که کیوبیت هدف را بر اساس حالت کیوبیت کنترل تغییر می‌دهد. مثال روزمره و مرز تمثیل را ببینید.,4,247,رایانش کوانتومی,https://qpedia.ir/quantum-gate/,DefinedTerm
188,گیت فاز,گیت فاز چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,گیت فاز چیست؟ گیتی است که فاز نسبی حالت‌های کیوبیت را بدون تغییر احتمال پایه تنظیم می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,245,رایانش کوانتومی,https://qpedia.ir/quantum-gate/,DefinedTerm
189,کره بلاخ,کره بلاخ چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,کره بلاخ چیست؟ نمایش هندسی حالت خالص یک کیوبیت روی سطح یک کره است. تعریف روان و کاربرد آن را در واژه‌نامهٔ Qpedia بخوانید.,4,253,رایانش کوانتومی,https://qpedia.ir/qubit/,DefinedTerm
190,عمق مدار,عمق مدار چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,عمق مدار چیست؟ تعداد لایه‌های متوالی گیت است و زمان اجرا و انباشت خطا را نشان می‌دهد. مثال روزمره و مرز تمثیل را ببینید.,4,253,تاریخ و جامعه,https://qpedia.ir/nobel-physics-2025/,DefinedTerm
191,کد سطحی,کد سطحی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,کد سطحی چیست؟ خانواده‌ای از کدهای تصحیح خطای کوانتومی با اندازه‌گیری‌های محلی روی شبکه است. مثال روزمره و مرز تمثیل را ببینید.,4,240,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
192,فاصله کد,فاصله کد چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,فاصله کد چیست؟ حداقل تعداد خطاهای لازم برای ایجاد خطای منطقی تشخیص‌نداده‌شده در یک کد است. مثال روزمره و مرز تمثیل را ببینید.,4,245,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
193,آستانه خطا,آستانه خطا چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,آستانه خطا چیست؟ نرخی است که پایین‌تر از آن افزایش اندازه کد می‌تواند خطای منطقی را کاهش دهد. مثال روزمره و مرز تمثیل را ببینید.,4,251,رایانش کوانتومی,https://qpedia.ir/topological-quantum-computing/,DefinedTerm
194,معیارسنجی تصادفی,معیارسنجی تصادفی چیست؟ تعریف ساده، مثال و کاربردهای مهم,معیارسنجی تصادفی چیست؟ روشی برای برآورد میانگین خطای گیت با اجرای دنباله‌های تصادفی است. مثال روزمره و مرز تمثیل را ببینید.,4,242,رایانش کوانتومی,https://qpedia.ir/quantum-error-correction/,DefinedTerm
195,همدوسی زمانی,همدوسی زمانی چیست؟ تعریف ساده، مثال و کاربردهای مهم,همدوسی زمانی چیست؟ مدت یا مقیاسی است که سامانه رابطه فازی قابل استفاده خود را حفظ می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,246,مفاهیم پایه,https://qpedia.ir/coherence/,DefinedTerm
196,زمان T1,زمان T1 چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,زمان T1 چیست؟ زمان مشخصه بازگشت جمعیت کیوبیت برانگیخته به حالت انرژی پایین‌تر است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,253,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
197,زمان T2,زمان T2 چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,زمان T2 چیست؟ زمان مشخصه از دست‌رفتن همدوسی فازی کیوبیت است. تعریف کامل‌تر، مثال روزمره و کاربرد آن را در واژه‌نامهٔ کوانتوم Qpedia بخوانید.,4,251,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
198,شات کوانتومی,شات کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,شات کوانتومی چیست؟ یک بار اجرای مدار و ثبت نتیجه اندازه‌گیری است. تعریف روان و کاربرد آن را در واژه‌نامهٔ Qpedia بخوانید.,4,251,رایانش کوانتومی,https://qpedia.ir/quantum-cloud/,DefinedTerm
199,پس‌انتخاب,پس‌انتخاب چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,پس‌انتخاب چیست؟ نگه‌داشتن زیرمجموعه‌ای از داده‌ها بر اساس یک نتیجه مشخص اندازه‌گیری است. مثال روزمره و مرز تمثیل را ببینید.,4,241,تاریخ و جامعه,https://qpedia.ir/wheeler-delayed-choice/,DefinedTerm
200,کدگذاری دامنه,کدگذاری دامنه چیست؟ تعریف ساده، مثال و کاربردهای مهم,کدگذاری دامنه چیست؟ روش نمایش داده در دامنه‌های حالت کوانتومی است که آماده‌سازی و خواندن آن هزینه دارد. مثال آن را ببینید.,4,255,هوش مصنوعی کوانتومی,https://qpedia.ir/quantum-machine-learning/,DefinedTerm
